2020-11-30 09:35:59,830 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java : 283] - Root WebApplicationContext: initialization completed in 2216 ms
2020-11-30 09:36:00,003 [main] WARN  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 121] - No URLs will be polled as dynamic configuration sources.
2020-11-30 09:36:00,003 [main] INFO  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 09:36:00,021 [main] INFO  c.n.config.DynamicPropertyFactory [DynamicPropertyFactory.java : 281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@4c19d42e
2020-11-30 09:36:00,242 [main] WARN  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 121] - No URLs will be polled as dynamic configuration sources.
2020-11-30 09:36:00,242 [main] INFO  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 09:36:00,754 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [ExecutorConfigurationSupport.java : 181] - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-30 09:36:01,836 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration [DiscoveryClientOptionalArgsConfiguration.java : 78] - Eureka HTTP Client uses Jersey
2020-11-30 09:36:01,894 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger [BlockingLoadBalancerClientAutoConfiguration.java : 108] - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-11-30 09:36:01,970 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [EndpointLinksResolver.java : 58] - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-11-30 09:36:02,136 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory [InstanceInfoFactory.java : 72] - Setting initial instance status as: STARTING
2020-11-30 09:36:02,207 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 372] - Initializing Eureka in region us-east-1
2020-11-30 09:36:02,574 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 70] - Using JSON encoding codec LegacyJacksonJson
2020-11-30 09:36:02,574 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 71] - Using JSON decoding codec LegacyJacksonJson
2020-11-30 09:36:02,773 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 80] - Using XML encoding codec XStreamXml
2020-11-30 09:36:02,774 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 81] - Using XML decoding codec XStreamXml
2020-11-30 09:36:03,331 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver [ConfigClusterResolver.java : 43] - Resolving eureka endpoints via configuration
2020-11-30 09:36:03,428 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1007] - Disable delta property : false
2020-11-30 09:36:03,428 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1008] - Single vip registry refresh property : null
2020-11-30 09:36:03,428 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1009] - Force full registry fetch : false
2020-11-30 09:36:03,429 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1010] - Application is null : false
2020-11-30 09:36:03,429 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1011] - Registered Applications size is zero : true
2020-11-30 09:36:03,430 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1013] - Application version is -1: true
2020-11-30 09:36:03,430 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1097] - Getting all instance registry info from the eureka server
2020-11-30 09:36:03,750 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1106] - The response status is 200
2020-11-30 09:36:03,754 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1321] - Starting heartbeat executor: renew interval is: 30
2020-11-30 09:36:03,758 [main] INFO  c.n.discovery.InstanceInfoReplicator [InstanceInfoReplicator.java : 60] - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-11-30 09:36:03,766 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 492] - Discovery Client initialized at timestamp 1606700163764 with initial instances count: 0
2020-11-30 09:36:03,768 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry [EurekaServiceRegistry.java : 41] - Registering application EUREKA-CLIENT with eureka with status UP
2020-11-30 09:36:03,769 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1355] - Saw local status change event StatusChangeEvent [timestamp=1606700163769, current=UP, previous=STARTING]
2020-11-30 09:36:03,772 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 873] - DiscoveryClient_EUREKA-CLIENT/WIN-ON8A73OBRD2:eureka-client:8801: registering service...
2020-11-30 09:36:03,806 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java : 173] - Starting ProtocolHandler ["http-nio-8801"]
2020-11-30 09:36:03,856 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 203] - Tomcat started on port(s): 8801 (http) with context path ''
2020-11-30 09:36:03,858 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration [EurekaAutoServiceRegistration.java : 145] - Updating port to 8801
2020-11-30 09:36:03,925 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 882] - DiscoveryClient_EUREKA-CLIENT/WIN-ON8A73OBRD2:eureka-client:8801 - registration status: 204
2020-11-30 09:36:03,949 [main] INFO  c.e.clienta.EurekaClientApplicationA [StartupInfoLogger.java : 61] - Started EurekaClientApplicationA in 8.277 seconds (JVM running for 10.065)
2020-11-30 09:36:04,112 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java : 21] - HV000001: Hibernate Validator 6.0.21.Final
